name,lat,lon,country,state
Vadodara,22.3000,73.2000,IN,Gujarāt
Hezhou,24.4164,111.5478,CN,Guangxi
Pingliang,35.5412,106.6819,CN,Gansu
Portland,45.5371,-122.6500,US,Oregon
Vishakhapatnam,17.7042,83.2978,IN,Andhra Pradesh
Gujranwala,32.1567,74.1900,PK,Punjab
Baicheng,45.6148,122.8320,CN,Jilin
Gaziantep,37.0628,37.3792,TR,Gaziantep
Fushun,41.8708,123.8917,CN,Liaoning
Riverside,33.9381,-117.3949,US,California
Bamako,12.6458,-7.9922,ML,Bamako
Quito,-0.2200,-78.5125,EC,Pichincha
Minsk,53.9000,27.5667,BY,Minsk
Tijuana,32.5250,-117.0333,MX,Baja California
Bamenda,5.9614,10.1517,CM,North-West
Boosaaso,11.2886,49.1819,SO,Bari
Indore,22.7167,75.8472,IN,Madhya Pradesh
Sanliurfa,37.1583,38.7917,TR,Şanlıurfa
Vienna,48.2083,16.3725,AT,Wien
Karaj,35.8272,50.9489,IR,Alborz
Kananga,-5.8970,22.4488,CD,Kasaï Central
Peshawar,34.0144,71.5675,PK,Khyber Pakhtunkhwa
Sapporo,43.0667,141.3500,JP,Hokkaidō
Ecatepec,19.6097,-99.0600,MX,México
Pingxiang,27.6333,113.8500,CN,Jiangxi
Orlando,28.4773,-81.3370,US,Florida
Aleppo,36.2000,37.1600,SY,Ḩalab
Sacramento,38.5677,-121.4685,US,California
Almaty,43.2775,76.8958,KZ,
San Juan,18.3985,-66.0610,PR,Puerto Rico
San Antonio,29.4632,-98.5238,US,Texas
Yinchuan,38.4795,106.2254,CN,Ningxia
Thane,19.1972,72.9722,IN,Mahārāshtra
Santos,-23.9369,-46.3250,BR,São Paulo
Blantyre,-15.7861,35.0058,MW,Blantyre
Bucharest,44.4325,26.1039,RO,Bucureşti
Curitiba,-25.4297,-49.2711,BR,Paraná
Multan,30.1978,71.4697,PK,Punjab
Tainan,22.9833,120.1833,TW,Tainan
Xiping,40.0820,113.2981,CN,Shanxi
Port Harcourt,4.8242,7.0336,NG,Rivers
Warsaw,52.2300,21.0111,PL,Mazowieckie
Jixi,45.2937,130.9650,CN,Heilongjiang
Saidu Sharif,34.7500,72.3572,PK,Khyber Pakhtunkhwa
